COMP,URL
ESG,https://finance.yahoo.com/news/schneider-electric-ranks-1-third-120507920.html
ESG,https://finance.yahoo.com/news/cryptoverse-merge-ether-heads-20-052422868.html
ESG,https://finance.yahoo.com/news/best-class-companies-focused-sustainability-074900272.html
ESG,https://finance.yahoo.com/news/keybank-introduces-key-coverage-zone-143008591.html
ESG,https://finance.yahoo.com/news/bio-techne-issues-2022-corporate-110000044.html
ESG,https://www.businesswire.com/news/home/20220920005366/en/Vista-Equity-Partners-Names-Winners-for-5th-Annual-Global-Hackathon
Environment,https://amp.theguardian.com/environment/2022/sep/19/landowners-urge-environment-secretary-rewilding-pledges
Environment,https://www.reuters.com/world/europe/leak-reported-german-isar-ii-nuclear-plant-environment-ministry-2022-09-19/
Environment,https://www.reuters.com/markets/europe/portugal-says-could-face-shortage-if-nigeria-does-not-deliver-all-lng-due-2022-09-19/
Environment,https://www.reuters.com/world/americas/latin-america-democracies-shaken-ahead-key-elections-2022-09-20/
Environment,https://www.engadget.com/windows-11-auto-hdr-vrr-2022-update-170008463.html
Environment,https://www.engadget.com/portal-rtx-ray-tracing-nvidia-155126135.html
Environment,https://venturebeat.com/ai/nvidia-and-passivelogic-team-up-to-drive-integration-for-autonomous-buildings/
Environment,https://www.reuters.com/business/environment/how-climate-change-is-fueling-hurricanes-2022-09-20/
Environment,https://amp.theguardian.com/environment/2022/sep/20/volunteers-cant-save-our-rivers-from-this-tide-of-filth
Environment,https://www.cnn.com/travel/article/kudadoo-resort-maldives-design/index.html
Environment,https://www.wired.com/story/the-fungus-that-killed-frogs-and-led-to-a-surge-in-malaria/
Environment,https://www.cnn.com/travel/article/fehmarnbelt-longest-immersed-tunnel-cmd/index.html
Environment,https://www.reuters.com/markets/europe/thyssenkrupp-markets-unfavourable-ipo-remains-preferred-option-nucera-2022-09-19/
Environment,https://boingboing.net/2022/09/18/new-book-on-environmental-justice-in-california.html
Environment,https://www.reuters.com/business/energy/kuwait-oil-company-aims-increase-natural-gas-production-meet-local-demand-acting-2022-09-18/
Environment,https://www.reuters.com/markets/europe/european-shares-open-higher-boost-banks-2022-09-20/
Environment,https://amp.theguardian.com/environment/2022/sep/18/tiny-solar-backpacks-could-help-save-the-plains-wanderer
Environment,https://amp.theguardian.com/crosswords/crossword-blog/2022/sep/19/cryptic-crosswords-for-beginners-a-little-bit-of-politics
Environment,https://www.wired.com/story/duolingo-language-learning-family-relationships/
Environment,https://www.reuters.com/markets/europe/commodities-banks-lift-londons-ftse-100-big-week-central-banks-2022-09-20/
Environment,https://www.reuters.com/business/media-telecom/call-centre-operator-majorel-breaks-off-talks-over-takeover-by-sitel-group-2022-09-19/
Environment,https://www.reuters.com/business/finance/goldman-sachs-lays-off-25-bankers-asia-bloomberg-2022-09-20/
Environment,https://www.reuters.com/lifestyle/sports/chelsea-sack-commercial-director-willoughby-over-inappropriate-messages-2022-09-21/
Environment,https://www.bbc.co.uk/news/world-asia-62830771
Environment,https://hbr.org/2022/09/how-family-businesses-can-compete-for-talent
Environment,https://amp.theguardian.com/uk-news/2022/sep/20/a-big-moment-wales-expected-to-ban-single-use-plastic-carrier-bags
Environment,https://www.reuters.com/world/india/morgan-stanley-revises-rate-call-indias-rbi-50-bps-sticky-inflation-2022-09-19/
Environment,https://markets.businessinsider.com/news/commodities/europe-is-turning-to-firewood-for-heat-gas-energy-russia-2022-9
Environment,https://www.entrepreneur.com/growing-a-business/how-to-find-remote-jobs-that-fit-your-values/433729
Environment,https://www.entrepreneur.com/living/the-hidden-dangers-of-working-remotely/434673
Environment,https://www.ted.com/talks/isabelle_boemeke_nuclear_power_is_our_best_hope_to_ditch_fossil_fuels
Environment,https://www.newscientist.com/article/0-vegan-pet-food-can-cats-and-dogs-be-happy-and-healthy-without-meat/
Environment,https://www.reuters.com/markets/europe/ecb-not-consulted-yet-spanish-banking-tax-proposal-de-guindos-says-2022-09-19/
Environment,https://www.reuters.com/markets/europe/sterling-idles-near-37-year-low-ahead-fed-boe-meetings-2022-09-20/
Environment,https://www.reuters.com/world/americas/mexico-declares-otomi-site-first-ancient-monument-decade-2022-09-21/
Environment,https://www.entrepreneur.com/business-news/yogis-are-mad-lululemon-is-using-coal-to-make-yoga-pants/435698
Environment,https://www.entrepreneur.com/business-news/why-is-crypto-crashing/435593
Environment,https://www.reuters.com/world/china/head-hong-kong-journalists-group-charged-with-obstructing-police-2022-09-19/
Environment,https://www.reuters.com/business/environment/greenpeace-takes-legal-action-over-eus-green-label-gas-nuclear-2022-09-19/
Environment,https://www.reuters.com/world/americas/imf-staff-back-4-bln-tranche-argentina-praise-decisive-steps-2022-09-19/
Environment,https://www.reuters.com/markets/europe/futures-fall-focus-turns-fed-2022-09-20/
Environment,http://www.home-designing.com/luxury-home-with-infinity-pool-in-mallorca-spain-video
Environment,https://www.entrepreneur.com/living/how-to-create-a-mindset-that-fuels-your-growth-and-gets-you/433500
Environment,https://amp.theguardian.com/society/commentisfree/2022/sep/18/there-is-no-end-point-to-the-work-of-a-gp-it-is-an-almost-impossible-job-to-do-well
Environment,https://www.cnn.com/2022/09/20/business/nightcap-morgan-stanley-recession-earnings/index.html
Environment,https://www.businessinsider.com/millennial-career-switch-quiet-quitting-act-your-wage-great-resignation-2022-9
Environment,https://appleinsider.com/articles/22/09/19/iphone-14-review-apples-curve-ball-to-iphone-upgraders
Environment,https://www.businessinsider.com/20-quadrillion-ants-live-earth-25-million-per-human-2022-9
Environment,https://www.globalchemistry.org/
Environment,https://www.fool.com/investing/2022/09/19/3-reasons-buy-paypal-inflationary-environment/
Environment,https://www.reuters.com/markets/europe/global-markets-wrapup-1-2022-09-20/
Environment,https://www.reuters.com/legal/government/cardozo-law-fights-fallout-yeshiva-university-lgbt-club-case-2022-09-19/
Environment,https://www.reuters.com/world/middle-east/death-young-iranian-woman-puts-spotlight-morality-police-2022-09-20/
Environment,https://www.reuters.com/legal/government/federal-judiciary-survey-employees-nationally-harassment-misconduct-2022-09-20/
Environment,https://smallbiztrends.com/2022/09/best-base-layer-items-for-men-and-women.html
Environment,https://amp.theguardian.com/world/2022/sep/19/i-lost-everything-italians-count-cost-of-deadly-flood-in-marche
Environment,https://petapixel.com/2022/09/19/australian-film-is-worlds-first-to-use-real-time-ray-tracing-in-production/
Environment,https://amp.theguardian.com/us-news/2022/sep/19/human-composting-california-human-remains-green-burial
Environment,https://amp.theguardian.com/football/2022/sep/18/brentfords-thomas-frank-declares-arsenal-premier-league-title-contenders
Environment,https://amp.theguardian.com/sport/2022/sep/18/embarrassing-worcester-warriors-cannot-keep-going-says-steve-diamond
Environment,https://amp.theguardian.com/business/2022/sep/20/bq-kingfisher-profits-cost-of-living-crisis-mini-budget
Environment,https://amp.theguardian.com/world/2022/sep/20/hong-kong-journalist-charged-days-before-leaving-for-oxford-fellowship
Environment,https://www.cnet.com/roadshow/news/nvidia-wants-to-be-the-brains-of-your-self-driving-car/
Environment,https://www.psfk.com/2022/09/kroger-to-further-expand-retail-media-arm.html
Environment,https://toronto.ctvnews.ca/another-person-bitten-by-coyote-in-burlington-7th-unprovoked-attack-reported-1.6073626
Environment,https://www.nakedcapitalism.com/2022/09/tories-create-a-hostile-environment-for-gypsies-and-travellers.html
Environment,https://www.techdirt.com/2022/09/20/the-internet-is-not-disneyland-people-should-stop-demanding-it-become-disneyland/
Environment,https://www.reuters.com/business/finance/big-us-bank-ceos-be-grilled-by-congress-consumer-social-issues-2022-09-19/
Environment,https://www.reuters.com/world/asia-pacific/pakistan-will-absolutely-not-default-debts-despite-floods-finmin-2022-09-18/
Environment,https://www.reuters.com/markets/commodities/germany-energy-transition-needs-faster-co2-cuts-autos-industry-2022-09-19/
Environment,https://www.reuters.com/technology/cryptoverse-after-merge-ether-heads-20-billion-shanghai-splurge-2022-09-20/
Environment,https://www.businessinsider.com/ghost-jobs-why-some-companies-dont-respond-to-applications-2022-9
Environment,https://www.entrepreneur.com/growing-a-business/why-businesses-need-to-take-inclusive-language-seriously/432876
Environment,https://www.huffpost.com/entry/biden-covid-united-states-pandemic-over_n_6327ce87e4b027aa40674e4c
Environment,https://www.techmeme.com/220918/p4
Environment,https://www.mindbodygreen.com/articles/jason-wachob-omega-3-potency-review
Environment,https://amp.theguardian.com/books/2022/sep/19/fen-bog-swamp-by-annie-proulx-review-history-of-peatland-destruction-and-role-in-climate-crisis-where-have-all-our-wetlands-gone
Environment,https://amp.theguardian.com/commentisfree/2022/sep/18/observer-view-britains-future-elizabeth-11
Environment,https://amp.theguardian.com/politics/2022/sep/20/security-not-trade-is-key-to-new-pms-hopes-of-building-rapport-with-joe-biden
Environment,https://amp.theguardian.com/news/2022/sep/20/number-global-ultra-high-net-worth-individuals-record-high
Environment,https://amp.theguardian.com/stage/2022/sep/20/comedian-kim-noble-lullaby-for-scavengers
Environment,https://www.psychologytoday.com/ca/blog/social-instincts/202209/is-your-friends-infidelity-contagious
Environment,https://www.businessinsider.com/how-economies-world-markets-react-fed-china-slowdown-bank-explainer-2022-9
Environment,https://www.businessinsider.com/democracy-gerontocracy-old-politicians-cost-danger-fake-interviews-2022-9
Environment,https://stocknews.com/news/fubo-edr-seat-seas-1-stock-to-sell-before-it-falls-even-lower/
Environment,https://www.entrepreneur.com/growing-a-business/not-hitting-your-goals-heres-how-to-know-if-you-should/433826
Environment,https://www.highsnobiety.com/p/rbrsl-aw23-collection/
Environment,https://www.fool.com/investing/2022/09/20/worried-about-rising-interest-rates-this-high-yiel/
Environment,https://www.kitco.com/news/2022-09-20/Gold-price-stacking-up-losses-ahead-of-key-Fed-rate-decision-analysts-warn-of-1-600-level.html
Environment,https://www.androidpolice.com/google-travel-green-filters-and-trains/
Environment,https://www.theregister.com/2022/09/21/oracle_fixes_critical_cloud_vuln/
Environment,https://amp.theguardian.com/us-news/2022/sep/20/beyond-meat-douglas-ramsey-biting-nose-road-rage-accusation
Environment,https://www.forbes.com/sites/scottmendelson/2022/09/19/constantine-2-is-making-a-sequel-to-a-keanu-reeves-cult-hit-a-good-idea/
Environment,https://www.forbes.com/sites/williamarruda/2022/09/18/personal-branding-and-the-new-world-of-work/
Environment,https://phys.org/news/2022-09-wildfire-amplified-arctic-phytoplankton-bloom.html
Environment,https://seekingalpha.com/article/4541752-economic-and-market-environment-difficult-to-evaluate
Environment,https://www.digitaltrends.com/space/hubble-ngc-1961-agn/
Environment,https://www.businessinsider.com/special-elections-congress-vote-alaska-gerontocracy-2022-9
Environment,https://www.digitaltrends.com/space/capstone-update-propulsion-system-heating/
Environment,https://hbr.org/podcast/2022/09/larry-fink-at-blackrock-linking-purpose-to-profit
Biodiversity,https://www.wired.com/story/the-fungus-that-killed-frogs-and-led-to-a-surge-in-malaria/
Biodiversity,https://www.reuters.com/world/china/one-third-chinas-land-protected-under-ecological-red-line-scheme-2022-09-19/
Biodiversity,https://amp.theguardian.com/environment/2022/sep/20/dutch-rewilding-project-turns-back-the-clock-500-years-aoe
Biodiversity,https://www.sciencedaily.com/releases/2022/09/220920141416.htm
Biodiversity,https://boingboing.net/2022/09/20/florida-gift-shop-flooded-to-draw-attention-to-the-states-climate-emergency.html
Biodiversity,https://amp.theguardian.com/commentisfree/2022/sep/20/patagonia-billion-dollar-climate-initiative-philanthropy
Biodiversity,https://amp.theguardian.com/environment/2022/sep/19/landowners-urge-environment-secretary-rewilding-pledges
Biodiversity,https://www.forbes.com/sites/forbesbusinesscouncil/2022/09/20/central-banks-and-supervisors-can-help-address-nature-loss-a-major-financial-stability-issue/
Biodiversity,https://amp.theguardian.com/australia-news/2022/sep/21/australia-signs-global-nature-pledge-committing-to-reverse-biodiversity-loss-by-2030
